1677846021.3304698Epoch [1/2], Step: [1/781], Avg time for each step 2.2770s
Epoch [1/2], Step: [2/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [3/781], Avg time for each step 0.0488s
Epoch [1/2], Step: [4/781], Avg time for each step 0.0500s
Epoch [1/2], Step: [5/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [6/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [7/781], Avg time for each step 0.0481s
Epoch [1/2], Step: [8/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [9/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [10/781], Avg time for each step 0.0482s
Epoch [1/2], Step: [11/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [12/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [13/781], Avg time for each step 0.0520s
Epoch [1/2], Step: [14/781], Avg time for each step 0.0379s
Epoch [1/2], Step: [15/781], Avg time for each step 0.0438s
Epoch [1/2], Step: [16/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [17/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [18/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [19/781], Avg time for each step 0.0391s
Epoch [1/2], Step: [20/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [21/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [22/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [23/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [24/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [25/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [26/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [27/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [28/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [29/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [30/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [31/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [32/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [33/781], Avg time for each step 0.0500s
Epoch [1/2], Step: [34/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [35/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [36/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [37/781], Avg time for each step 0.0442s
Epoch [1/2], Step: [38/781], Avg time for each step 0.0438s
Epoch [1/2], Step: [39/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [40/781], Avg time for each step 0.0457s
Epoch [1/2], Step: [41/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [42/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [43/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [44/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [45/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [46/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [47/781], Avg time for each step 0.0447s
Epoch [1/2], Step: [48/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [49/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [50/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [51/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [52/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [53/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [54/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [55/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [56/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [57/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [58/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [59/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [60/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [61/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [62/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [63/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [64/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [65/781], Avg time for each step 0.0427s
Epoch [1/2], Step: [66/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [67/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [68/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [69/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [70/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [71/781], Avg time for each step 0.0500s
Epoch [1/2], Step: [72/781], Avg time for each step 0.0401s
Epoch [1/2], Step: [73/781], Avg time for each step 0.0510s
Epoch [1/2], Step: [74/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [75/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [76/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [77/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [78/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [79/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [80/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [81/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [82/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [83/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [84/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [85/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [86/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [87/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [88/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [89/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [90/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [91/781], Avg time for each step 0.0500s
Epoch [1/2], Step: [92/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [93/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [94/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [95/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [96/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [97/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [98/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [99/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [100/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [101/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [102/781], Avg time for each step 0.0500s
Epoch [1/2], Step: [103/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [104/781], Avg time for each step 0.0452s
Epoch [1/2], Step: [105/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [106/781], Avg time for each step 0.0480s
